"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.572520826201,0.57279780922,0.421000003815,0.0989999771118,1,[[ 223 1607    0]  [ 166 4794    0]  [  21 1952    0]],[[  39  413    0]  [  47 1216    0]  [   2  474    0]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.584274791738,0.576449109995,0.421000003815,0.105000019073,3,[[ 234 1586   10]  [ 175 4748   37]  [  19 1816  138]],[[  39  412    1]  [  49 1195   19]  [   1  446   29]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.587355928335,0.573254221817,0.448999881744,0.125,6,[[ 228 1585   17]  [ 171 4682  107]  [  18 1718  237]],[[  39  411    2]  [  47 1164   52]  [   3  420   53]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.590779413443,0.575992697398,0.53200006485,0.142999887466,12,[[ 271 1544   15]  [ 204 4641  115]  [  22 1686  265]],[[  46  404    2]  [  55 1157   51]  [   5  412   59]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.599680474723,0.585120949338,0.605000019073,0.153000116348,22,[[ 279 1516   35]  [ 200 4580  180]  [  24 1553  396]],[[  43  399   10]  [  49 1152   62]  [   4  385   87]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.606299212598,0.578274760383,0.726000070572,0.190999984741,42,[[ 317 1468   45]  [ 220 4487  253]  [  24 1440  509]],[[  56  384   12]  [  71 1108   84]  [   7  366  103]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.609494465366,0.581013235965,1.18899989128,0.328999996185,79,[[ 350 1426   54]  [ 234 4475  251]  [  36 1421  516]],[[  61  380   11]  [  79 1102   82]  [   8  358  110]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.607554490471,0.581926061159,2.0110001564,0.521999835968,147,[[ 342 1438   50]  [ 237 4445  278]  [  35 1401  537]],[[  57  380   15]  [  77 1104   82]  [   5  357  114]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.609608581536,0.585120949338,3.52900004387,0.841000080109,273,[[ 345 1429   56]  [ 250 4438  272]  [  34 1380  559]],[[  59  379   14]  [  76 1105   82]  [   8  350  118]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.606641561109,0.585120949338,5.98299980164,1.43000006676,505,[[ 329 1446   55]  [ 245 4436  279]  [  25 1397  551]],[[  59  379   14]  [  74 1105   84]  [   5  353  118]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.606641561109,0.585120949338,12.4679999352,2.59899997711,935,[[ 329 1446   55]  [ 245 4436  279]  [  25 1397  551]],[[  59  379   14]  [  74 1105   84]  [   5  353  118]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.606641561109,0.585120949338,22.3309998512,4.45000004768,1729,[[ 329 1446   55]  [ 245 4436  279]  [  25 1397  551]],[[  59  379   14]  [  74 1105   84]  [   5  353  118]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.608239187493,0.587403012323,44.5490000248,8.1899998188,3198,[[ 330 1447   53]  [ 237 4459  264]  [  28 1404  541]],[[  61  378   13]  [  69 1114   80]  [   7  357  112]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.608809768344,0.590141487905,88.2019999027,14.0450000763,5915,[[ 334 1436   60]  [ 232 4471  257]  [  28 1415  530]],[[  60  378   14]  [  69 1117   77]  [   6  354  116]]
